"number","en_name","jp_name","skill_id","jp_skill_name","en_skill_text","leader_id","jp_leader_name","en_leader_text","jp_name_normalized","jp_skill_name_normalized","jp_leader_name_normalized"
"1007","Gold Pirate","ゴールドパイレーツ","150","風雷変化の術・光","Change Wood orbs to Light orbs.","","","","ｺﾞ-ﾙﾄﾞﾊﾟｲﾚ-ﾂ","風雷変化の術光",""
"1008","Black Pirate","ブラックパイレーツ","235","国建の妙技","Delay 1 turn to all enemies. Dark attribute ATK x1.5 for 1 turn.","","","","ﾌﾞﾗﾂｸﾊﾟｲﾚ-ﾂ","国建の妙技",""
"1009","Gon Freecss","ゴン＝フリークス","335","ジャジャン拳・グー","Deal 100000 damage to 1 enemy. Ignore enemy element and defense. Delay 1 turn to all enemies.","482","最初はグー","Wood attribute cards ATK x4 when HP is full. Wood attribute cards ATK x4 when HP is less than 50%.","ｺﾞﾝ=ﾌﾘ-ｸｽ","ｼﾞﾔｼﾞﾔﾝ拳ｸﾞ-","最初はｸﾞ-"
"101","Fenrir Knight","フェンリルナイト","53","ドロップ変化・水","Change Wood orbs to Water orbs.","51","水の守り","30% Water damage reduction.","ﾌｴﾝﾘﾙﾅｲﾄ","ﾄﾞﾛﾂﾌﾟ変化水","水の守り"
"1010","Jajanken, Gon Freecss","ジャジャン拳・ゴン＝フリークス","335","ジャジャン拳・グー","Deal 100000 damage to 1 enemy. Ignore enemy element and defense. Delay 1 turn to all enemies.","482","最初はグー","Wood attribute cards ATK x4 when HP is full. Wood attribute cards ATK x4 when HP is less than 50%.","ｼﾞﾔｼﾞﾔﾝ拳ｺﾞﾝ=ﾌﾘ-ｸｽ","ｼﾞﾔｼﾞﾔﾝ拳ｸﾞ-","最初はｸﾞ-"
"1011","Killua Zoldyck","キルア＝ゾルディック","336","落雷","Deal 10000 damage to all enemies. Ignore enemy element and defense. Delay 1 turn to all enemies.","483","雷掌","Dark attribute cards ATK x4 when HP is greater than 80%.","ｷﾙｱ=ｿﾞﾙﾃﾞｲﾂｸ","落雷","雷掌"
"1012","Thunderbolt, Killua Zoldyck","落雷・キルア＝ゾルディック","336","落雷","Deal 10000 damage to all enemies. Ignore enemy element and defense. Delay 1 turn to all enemies.","483","雷掌","Dark attribute cards ATK x4 when HP is greater than 80%.","落雷ｷﾙｱ=ｿﾞﾙﾃﾞｲﾂｸ","落雷","雷掌"
"1013","Kurapika","クラピカ","337","律する小指の鎖","Delay 4 turns to all enemies.","484","癒す親指の鎖","ATK x2.5 when simultaneously clearing 4 connected Water orbs. ATK x0.5 for each additional orb, up to ATK x3 at 5 connected orb.","ｸﾗﾋﾟｶ","律する小指の鎖","癒す親指の鎖"
"1014","Scarlet Eyes, Kurapika","緋の眼・クラピカ","337","律する小指の鎖","Delay 4 turns to all enemies.","484","癒す親指の鎖","ATK x2.5 when simultaneously clearing 4 connected Water orbs. ATK x0.5 for each additional orb, up to ATK x3 at 5 connected orb.","緋の眼ｸﾗﾋﾟｶ","律する小指の鎖","癒す親指の鎖"
"1015","Leorio","レオリオ","338","友との約束","Recover 3000 HP. Bind recovery for 1 turn.","485","資金調達","ATK x2.5 when simultaneously clearing 4 connected Wood orbs. ATK x0.5 for each additional orb, up to ATK x3 at 5 connected orb.","ﾚｵﾘｵ","友との約束","資金調達"
"1016","受験生, Leorio","受験生・レオリオ","338","友との約束","Recover 3000 HP. Bind recovery for 1 turn.","485","資金調達","ATK x2.5 when simultaneously clearing 4 connected Wood orbs. ATK x0.5 for each additional orb, up to ATK x3 at 5 connected orb.","受験生ﾚｵﾘｵ","友との約束","資金調達"
"1017","Bisky","ビスケ","339","桃色吐息","Inflict damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense. Physical type cards ATK x2 for 1 turn.","486","鍛えるわよォ～","ATK x3 when simultaneously clearing 6 connected Light orbs. ATK x0.5 for each additional orb, up to ATK x3.5 at 7 connected orb.","ﾋﾞｽｹ","桃色吐息","鍛えるわよｵ~"
"1018","魔法美容師, Bisky","魔法美容師・ビスケ","339","桃色吐息","Inflict damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense. Physical type cards ATK x2 for 1 turn.","486","鍛えるわよォ～","ATK x3 when simultaneously clearing 6 connected Light orbs. ATK x0.5 for each additional orb, up to ATK x3.5 at 7 connected orb.","魔法美容師ﾋﾞｽｹ","桃色吐息","鍛えるわよｵ~"
"1019","Chrollo Lucilfer","クロロ＝ルシルフル","340","盗賊の極意","Activate a random skill. This includes: <a href=""skill.asp?s=531"">密室遊魚</a>, <a href=""skill.asp?s=530"">蛇咬の舞</a>, <a href=""skill.asp?s=529"">念糸縫合</a>, <a href=""skill.asp?s=528"">携帯する他人の運命</a>, <a href=""skill.asp?s=527"">廻天</a>, <a href=""skill.asp?s=525"">神の左手悪魔の右手</a>, <a href=""skill.asp?s=524"">記憶を読み取る能力</a>","487","天使の自動筆記","ATK x2.5 when simultaneously clearing 4 connected Dark orbs. ATK x0.5 for each additional orb, up to ATK x3 at 5 connected orb.","ｸﾛﾛ=ﾙｼﾙﾌﾙ","盗賊の極意","天使の自動筆記"
"102","Mystic Stone Knight","岩の魔剣士","77","ドロップ変化・木","Change Fire orbs to Wood orbs.","56","木の守り","30% Wood damage reduction.","岩の魔剣士","ﾄﾞﾛﾂﾌﾟ変化木","木の守り"
"1020","盗賊の極意, Chrollo Lucilfer","盗賊の極意・クロロ＝ルシルフル","340","盗賊の極意","Activate a random skill. This includes: <a href=""skill.asp?s=531"">密室遊魚</a>, <a href=""skill.asp?s=530"">蛇咬の舞</a>, <a href=""skill.asp?s=529"">念糸縫合</a>, <a href=""skill.asp?s=528"">携帯する他人の運命</a>, <a href=""skill.asp?s=527"">廻天</a>, <a href=""skill.asp?s=525"">神の左手悪魔の右手</a>, <a href=""skill.asp?s=524"">記憶を読み取る能力</a>","487","天使の自動筆記","ATK x2.5 when simultaneously clearing 4 connected Dark orbs. ATK x0.5 for each additional orb, up to ATK x3 at 5 connected orb.","盗賊の極意ｸﾛﾛ=ﾙｼﾙﾌﾙ","盗賊の極意","天使の自動筆記"
"1021","Hisoka","ヒソカ","341","薄っぺらな嘘","30% damage reduction for 1 turn.","488","興奮しちゃうじゃないか♪","ATK x3 when simultaneously clearing 6 connected Fire orbs. ATK x0.5 for each additional orb, up to ATK x3.5 at 7 connected orb.","ﾋｿｶ","薄っぺらな嘘","興奮しちゃうじゃないか♪"
"1022","Elastic Love, Hisoka","伸縮自在の愛・ヒソカ","341","薄っぺらな嘘","30% damage reduction for 1 turn.","488","興奮しちゃうじゃないか♪","ATK x3 when simultaneously clearing 6 connected Fire orbs. ATK x0.5 for each additional orb, up to ATK x3.5 at 7 connected orb.","伸縮自在の愛ﾋｿｶ","薄っぺらな嘘","興奮しちゃうじゃないか♪"
"1023","Netero","ネテロ","342","壱乃掌","Reduce enemies' defense by 50% for 1 turn. Effects carry forward on sweep. Reduces cooldown of other skills by 1 turn.","489","血沸く血沸く♪","Balanced type cards HP x1.25, ATK x1.25. ATK x4.5 when attacking with 5 of following orb types: Fire, Water, Wood, Light, Dark & Heart.","ﾈﾃﾛ","壱乃掌","血沸く血沸く♪"
"1024","百式観音, Netero","百式観音・ネテロ","342","壱乃掌","Reduce enemies' defense by 50% for 1 turn. Effects carry forward on sweep. Reduces cooldown of other skills by 1 turn.","489","血沸く血沸く♪","Balanced type cards HP x1.25, ATK x1.25. ATK x4.5 when attacking with 5 of following orb types: Fire, Water, Wood, Light, Dark & Heart.","百式観音ﾈﾃﾛ","壱乃掌","血沸く血沸く♪"
"1025","Genthru","ゲンスルー","343","一握りの火薬","Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep. Inflict Fire damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense.","490","解放","ATK x2.5 when simultaneously clearing 4 connected Fire orbs. ATK x0.5 for each additional orb, up to ATK x3 at 5 connected orb.","ｹﾞﾝｽﾙ-","-握りの火薬","解放"
"1026","Bomber, Genthru","爆弾魔・ゲンスルー","343","一握りの火薬","Reduce enemies' defense by 25% for 1 turn. Effects carry forward on sweep. Inflict Fire damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense.","490","解放","ATK x2.5 when simultaneously clearing 4 connected Fire orbs. ATK x0.5 for each additional orb, up to ATK x3 at 5 connected orb.","爆弾魔ｹﾞﾝｽﾙ-","-握りの火薬","解放"
"1027","Jed","ジェド","344","“怨”","Deal Dark damage to all enemies based on player's HP %. ATK x10 at 100% HP up to ATK x150 at 1 HP. Affected by enemy element and defense.","491","≪影≫","ATK x3 when simultaneously clearing 6 connected Dark orbs. ATK x0.5 for each additional orb, up to ATK x3.5 at 7 connected orb.","ｼﾞｴﾄﾞ","“怨”","≪影≫"
"1028","百鬼呪怨, Jed","百鬼呪怨・ジェド","344","“怨”","Deal Dark damage to all enemies based on player's HP %. ATK x10 at 100% HP up to ATK x150 at 1 HP. Affected by enemy element and defense.","491","≪影≫","ATK x3 when simultaneously clearing 6 connected Dark orbs. ATK x0.5 for each additional orb, up to ATK x3.5 at 7 connected orb.","百鬼呪怨ｼﾞｴﾄﾞ","“怨”","≪影≫"
"1029","King","王","345","王の一手","God type cards ATK x1.3 for 1 turn. Inflict Light damage equal to ATK x30 to all enemies. Affected by enemy element and defense.","492","絶対的なオーラ","Light & Dark attribute cards HP x2, ATK x2.","王","王の-手","絶対的なｵ-ﾗ"
"103","Dragon Knight","ドラゴンナイト","77","ドロップ変化・木","Change Fire orbs to Wood orbs.","56","木の守り","30% Wood damage reduction.","ﾄﾞﾗｺﾞﾝﾅｲﾄ","ﾄﾞﾛﾂﾌﾟ変化木","木の守り"
"1030","Meruem","メルエム","345","王の一手","God type cards ATK x1.3 for 1 turn. Inflict Light damage equal to ATK x30 to all enemies. Affected by enemy element and defense.","492","絶対的なオーラ","Light & Dark attribute cards HP x2, ATK x2.","ﾒﾙｴﾑ","王の-手","絶対的なｵ-ﾗ"
"1031","Pitou","ピトー","346","僕、ちょっと強いかも","Inflict damage equal to ATK x10 to 1 enemy. Affected by enemy element and defense. Healer type cards ATK x1.5 for 2 turns.","493","念人形による修復","Heal RCV x3 as HP after every orbs elimination.","ﾋﾟﾄ-","僕､ちょっと強いかも","念人形による修復"
"1032","玩具修理者, Pitou","玩具修理者・ピトー","346","僕、ちょっと強いかも","Inflict damage equal to ATK x10 to 1 enemy. Affected by enemy element and defense. Healer type cards ATK x1.5 for 2 turns.","493","念人形による修復","Heal RCV x3 as HP after every orbs elimination.","玩具修理者ﾋﾟﾄ-","僕､ちょっと強いかも","念人形による修復"
"1033","Pouf","プフ","","","","494","鱗粉","Increases time limit of orb movement by 3 seconds.","ﾌﾟﾌ","","鱗粉"
"1034","陶酔の蝶, Pouf","陶酔の蝶・プフ","106","ドロップ強化・光","Enhance Light orbs. +6% per orb, up to +180% for full board.","494","鱗粉","Increases time limit of orb movement by 3 seconds.","陶酔の蝶ﾌﾟﾌ","ﾄﾞﾛﾂﾌﾟ強化光","鱗粉"
"1035","Youpi","ユピー","","","","495","王直属護衛軍","Physical type cards ATK x2.5.","ﾕﾋﾟ-","","王直属護衛軍"
"1036","形態変化, Youpi","形態変化・ユピー","153","ダブル攻撃態勢・火","Change Heart & Water orbs to Fire orbs.","495","王直属護衛軍","Physical type cards ATK x2.5.","形態変化ﾕﾋﾟ-","ﾀﾞﾌﾞﾙ攻撃態勢火","王直属護衛軍"
"1037","Colt","コルト","","","","496","女王への忠誠","Balanced type cards ATK x2.","ｺﾙﾄ","","女王への忠誠"
"1038","師団長, Colt","師団長・コルト","155","ダブル攻撃態勢・木","Change Heart & Fire orbs to Wood orbs.","496","女王への忠誠","Balanced type cards ATK x2.","師団長ｺﾙﾄ","ﾀﾞﾌﾞﾙ攻撃態勢木","女王への忠誠"
"1039","Rammot","ラモット","","","","497","強者への忠誠","Attacker type cards HP x2.","ﾗﾓﾂﾄ","","強者への忠誠"
"104","Mystic Light Knight","光の魔剣士","38","ドロップ変化・光","Change Dark orbs to Light orbs.","38","光の守り","30% Light damage reduction.","光の魔剣士","ﾄﾞﾛﾂﾌﾟ変化光","光の守り"
"1040","コルト隊兵隊長, Rammot","コルト隊兵隊長・ラモット","179","氷の呪い","Counter 3x damage taken with Water for 4 turns. Change Fire orbs to Water orbs.","497","強者への忠誠","Attacker type cards HP x2.","ｺﾙﾄ隊兵隊長ﾗﾓﾂﾄ","氷の呪い","強者への忠誠"
"1041","Leol","レオル","","","","498","TUBE","Water attribute cards ATK x2.","ﾚｵﾙ","","TUBE"
"1042","謝債発行機, Leol","謝債発行機・レオル","114","ダブル防御態勢・水","Change Fire & Dark orbs to Heart orbs.","498","TUBE","Water attribute cards ATK x2.","謝債発行機ﾚｵﾙ","ﾀﾞﾌﾞﾙ防御態勢水","TUBE"
"1043","Hina","ヒナ","","","","499","仲間の除念","50% HP reduction and Healer type cards ATK x3.","ﾋﾅ","","仲間の除念"
"1044","除念能力, Hina","除念能力・ヒナ","116","ダブル防御態勢・光","Change Wood & Dark orbs to Heart orbs.","499","仲間の除念","50% HP reduction and Healer type cards ATK x3.","除念能力ﾋﾅ","ﾀﾞﾌﾞﾙ防御態勢光","仲間の除念"
"1045","Zazan","ザザン","","","","500","トカゲ化","Dark attribute cards HP x1.5, ATK x1.5.","ｻﾞｻﾞﾝ","","ﾄｶｹﾞ化"
"1046","審美的転生注射, Zazan","審美的転生注射・ザザン","157","ダブル攻撃態勢・闇","Change Heart & Light orbs to Dark orbs.","500","トカゲ化","Dark attribute cards HP x1.5, ATK x1.5.","審美的転生注射ｻﾞｻﾞﾝ","ﾀﾞﾌﾞﾙ攻撃態勢闇","ﾄｶｹﾞ化"
"1047","Pike","パイク","","","","501","襲撃態勢","Attacker type cards HP x2.","ﾊﾟｲｸ","","襲撃態勢"
"1048","愛の放射線, Pike","愛の放射線・パイク","40","アースエンハンス","Reduces cooldown of other skills by 1 turn. Wood attribute ATK x1.5 for 3 turns.","501","襲撃態勢","Attacker type cards HP x2.","愛の放射線ﾊﾟｲｸ","ｱ-ｽｴﾝﾊﾝｽ","襲撃態勢"
"1049","Sacred Dragon King Saiga","聖龍王サイガ","224","神羅万象","Change Light orbs to Wood orbs, Heart orbs to Light orbs.","260","七天伐刀","Dragon type cards ATK x1.5.","聖龍王ｻｲｶﾞ","神羅万象","七天伐刀"
"105","Verche","ヴァーチェ","38","ドロップ変化・光","Change Dark orbs to Light orbs.","38","光の守り","30% Light damage reduction.","ｳﾞｱ-ﾁｴ","ﾄﾞﾛﾂﾌﾟ変化光","光の守り"
"1050","Light Dragon King Saiga","光龍王サイガ","224","神羅万象","Change Light orbs to Wood orbs, Heart orbs to Light orbs.","261","双龍伐刀剣","Dragon type cards ATK x2.","光龍王ｻｲｶﾞ","神羅万象","双龍伐刀剣"
"1051","Banchack","バンチャック","","","","","","","ﾊﾞﾝﾁﾔﾂｸ","",""
"1052","KOB Leonhart","KOBレオンハート","181","雷の呪い","Counter 3x damage taken with Light for 4 turns. Change Water orbs to Light orbs.","262","ロイヤル・ストレート・F","All attribute cards ATK x2 when reaching 3 combos or above.","KOBﾚｵﾝﾊ-ﾄ","雷の呪い","ﾛｲﾔﾙｽﾄﾚ-ﾄF"
"1053","Kobokkle","コボックル","","","","","","","ｺﾎﾞﾂｸﾙ","",""
"1054","Bokkle","ボックル","46","防御態勢・闇","Change Light orbs to Heart orbs.","263","友好の握手","20% all damage reduction.","ﾎﾞﾂｸﾙ","防御態勢闇","友好の握手"
"1055","Kaguya","カグヤ","","","","","","","ｶｸﾞﾔ","",""
"1056","Blooming Flower Princess Kaguya","狂華咲乱 花媛香具耶","180","樹の呪い","Counter 3x damage taken with Wood for 4 turns. Change Fire orbs to Wood orbs.","264","毒霧散布","Deal ATK x2 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.","狂華咲乱花媛香具耶","樹の呪い","毒霧散布"
"1057","Wafer Man","ウエハーマン","24","ダブルドロップ変化・光闇","Change Dark orbs to Light orbs, Heart orbs to Dark orbs.","","","","ｳｴﾊ-ﾏﾝ","ﾀﾞﾌﾞﾙﾄﾞﾛﾂﾌﾟ変化光闇",""
"1058","Holy Dragon Stone","聖龍石","72","第三の目","Reduce enemies' defense to 0 for 1 turn. Effects carry forward on sweep. Enhance Fire orbs. +6% per orb, up to +180% for full board.","","","","聖龍石","第三の目",""
"1059","Blazing Sun God Apollo","灼炎太陽神アポロ","223","オリンポスの炎","Inflict Fire damage equal to ATK x30 to all enemies. Affected by enemy element and defense. Fire attribute ATK x1.5 for 1 turn.","519","SB・エクスプロージョン","Fire attribute & God type cards ATK x2.","灼炎太陽神ｱﾎﾟﾛ","ｵﾘﾝﾎﾟｽの炎","SBｴｸｽﾌﾟﾛ-ｼﾞﾖﾝ"
"106","Titan","タイタン","65","攻撃態勢・火","Change Heart orbs to Fire orbs.","57","根性","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.","ﾀｲﾀﾝ","攻撃態勢火","根性"
"1060","Demon God Masterion","魔神マステリオン","253","ダーク・ブラスター","Reduce 20% of all enemies' HP. Ignore enemy element and defense.","330","皇魔族統治領域","Devil type cards ATK x2, RCV x2.","魔神ﾏｽﾃﾘｵﾝ","ﾀﾞ-ｸﾌﾞﾗｽﾀ-","皇魔族統治領域"
"1061","Dragon Zombie","ドラゴンゾンビ","537","デッドライズ","Enhance Wood & Dark orbs. +6% per orb, up to +180% for full board.","573","深淵の防護","50% Light damage reduction.","ﾄﾞﾗｺﾞﾝｿﾞﾝﾋﾞ","ﾃﾞﾂﾄﾞﾗｲｽﾞ","深淵の防護"
"1062","Corpse Wyrm, Dragon Zombie","屍霊龍・ドラゴンゾンビ","537","デッドライズ","Enhance Wood & Dark orbs. +6% per orb, up to +180% for full board.","573","深淵の防護","50% Light damage reduction.","屍霊龍ﾄﾞﾗｺﾞﾝｿﾞﾝﾋﾞ","ﾃﾞﾂﾄﾞﾗｲｽﾞ","深淵の防護"
"1063","Bone Fish","ボーンフィッシュ","","","","","","","ﾎﾞ-ﾝﾌｲﾂｼﾕ","",""
"1064","Devil Fish","デビルフィッシュ","11","恨みの一撃","Deal Dark damage to all enemies based on player's HP %. ATK x10 at 100% HP up to ATK x150 at 1 HP. Affected by enemy element and defense. Dark attribute ATK x1.5 for 1 turn.","","","","ﾃﾞﾋﾞﾙﾌｲﾂｼﾕ","恨みの-撃",""
"1065","Yamato Takeru","ヤマトタケル","347","草薙の剣","Change Wood orbs to Fire orbs, Dark orbs to Heart orbs. Enhance Heart orbs. +6% per orb.","506","神皇の血族","ATK x2 when simultaneously clearing 4 connected Fire orbs. ATK x0.5 for each additional orb, up to ATK x4 at 8 connected orb.","ﾔﾏﾄﾀｹﾙ","草薙の剣","神皇の血族"
"1066","Martial God-Emperor, Yamato Takeru","武皇の剣神・ヤマトタケル","347","草薙の剣","Change Wood orbs to Fire orbs, Dark orbs to Heart orbs. Enhance Heart orbs. +6% per orb.","506","神皇の血族","ATK x2 when simultaneously clearing 4 connected Fire orbs. ATK x0.5 for each additional orb, up to ATK x4 at 8 connected orb.","武皇の剣神ﾔﾏﾄﾀｹﾙ","草薙の剣","神皇の血族"
"1067","Andromeda","アンドロメダ","348","蒼聖の鎖","Change Fire orbs to Water orbs, Light orbs to Heart orbs. Enhance Heart orbs. +6% per orb.","505","王女の宿星","ATK x2 when simultaneously clearing 4 connected Water orbs. ATK x0.5 for each additional orb, up to ATK x4 at 8 connected orb.","ｱﾝﾄﾞﾛﾒﾀﾞ","蒼聖の鎖","王女の宿星"
"1068","Starsea Goddess, Andromeda","星海の女神・アンドロメダ","348","蒼聖の鎖","Change Fire orbs to Water orbs, Light orbs to Heart orbs. Enhance Heart orbs. +6% per orb.","505","王女の宿星","ATK x2 when simultaneously clearing 4 connected Water orbs. ATK x0.5 for each additional orb, up to ATK x4 at 8 connected orb.","星海の女神ｱﾝﾄﾞﾛﾒﾀﾞ","蒼聖の鎖","王女の宿星"
"1069","Perseus","ペルセウス","349","碧星の剛剣","Change Water orbs to Wood orbs, Fire orbs to Heart orbs. Enhance Heart orbs. +6% per orb.","504","神器の守護","ATK x2 when simultaneously clearing 4 connected Wood orbs. ATK x0.5 for each additional orb, up to ATK x4 at 8 connected orb.","ﾍﾟﾙｾｳｽ","碧星の剛剣","神器の守護"
"107","Gigas","ギガンテス","65","攻撃態勢・火","Change Heart orbs to Fire orbs.","57","根性","While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.","ｷﾞｶﾞﾝﾃｽ","攻撃態勢火","根性"
"1070","Vanquishing Deity, Perseus","破邪の勇神・ペルセウス","349","碧星の剛剣","Change Water orbs to Wood orbs, Fire orbs to Heart orbs. Enhance Heart orbs. +6% per orb.","504","神器の守護","ATK x2 when simultaneously clearing 4 connected Wood orbs. ATK x0.5 for each additional orb, up to ATK x4 at 8 connected orb.","破邪の勇神ﾍﾟﾙｾｳｽ","碧星の剛剣","神器の守護"
"1071","Sun Wukong","孫悟空","350","如意棒","Change Water orbs to Light orbs, Dark orbs to Heart orbs. Enhance Heart orbs. +6% per orb.","503","仙丹の活力","ATK x2 when simultaneously clearing 4 connected Light orbs. ATK x0.5 for each additional orb, up to ATK x4 at 8 connected orb.","孫悟空","如意棒","仙丹の活力"
"1072","Golden Monkey King, Sun Wukong","金毛の猿神・孫悟空","350","如意棒","Change Water orbs to Light orbs, Dark orbs to Heart orbs. Enhance Heart orbs. +6% per orb.","503","仙丹の活力","ATK x2 when simultaneously clearing 4 connected Light orbs. ATK x0.5 for each additional orb, up to ATK x4 at 8 connected orb.","金毛の猿神孫悟空","如意棒","仙丹の活力"
"1073","Pandora","パンドラ","351","秘密の箱","Change Wood orbs to Dark orbs, Light orbs to Heart orbs. Enhance Heart orbs. +6% per orb.","502","災厄の到来","ATK x2 when simultaneously clearing 4 connected Dark orbs. ATK x0.5 for each additional orb, up to ATK x4 at 8 connected orb.","ﾊﾟﾝﾄﾞﾗ","秘密の箱","災厄の到来"
"1074","Goddess of the Bleak Night, Pandora","冥夜の女神・パンドラ","351","秘密の箱","Change Wood orbs to Dark orbs, Light orbs to Heart orbs. Enhance Heart orbs. +6% per orb.","502","災厄の到来","ATK x2 when simultaneously clearing 4 connected Dark orbs. ATK x0.5 for each additional orb, up to ATK x4 at 8 connected orb.","冥夜の女神ﾊﾟﾝﾄﾞﾗ","秘密の箱","災厄の到来"
"1075","Strawberry Dragon","いちドラ","306","ストロベリーシャワー","Recover 30% of max HP. Change Wood orbs to Heart orbs.","507","紅果の力","Fire attribute cards HP x1.5, RCV x1.5.","いちﾄﾞﾗ","ｽﾄﾛﾍﾞﾘ-ｼﾔﾜ-","紅果の力"
"1076","Red Sky Fruit, Strawberry Dragon","紅天の果実・いちごドラゴン","306","ストロベリーシャワー","Recover 30% of max HP. Change Wood orbs to Heart orbs.","522","紅果の恵み","Fire attribute cards HP x2, RCV x2.","紅天の果実いちごﾄﾞﾗｺﾞﾝ","ｽﾄﾛﾍﾞﾘ-ｼﾔﾜ-","紅果の恵み"
"1077","Berry Dragon","べりドラ","307","ブルーベリーシャワー","Recover 30% of max HP. Change Fire orbs to Heart orbs.","508","蒼果の力","Water attribute cards HP x1.5, RCV x1.5.","べりﾄﾞﾗ","ﾌﾞﾙ-ﾍﾞﾘ-ｼﾔﾜ-","蒼果の力"
"1078","Blue Sky Fruit, Berry Dragon","蒼天の果実・ベリードラゴン","307","ブルーベリーシャワー","Recover 30% of max HP. Change Fire orbs to Heart orbs.","523","蒼果の恵み","Water attribute cards HP x2, RCV x2.","蒼天の果実ﾍﾞﾘ-ﾄﾞﾗｺﾞﾝ","ﾌﾞﾙ-ﾍﾞﾘ-ｼﾔﾜ-","蒼果の恵み"
"1079","Melon Dragon","めろドラ","308","メロンシャワー","Recover 30% of max HP. Change Water orbs to Heart orbs.","509","碧果の力","Wood attribute cards HP x1.5, RCV x1.5.","めろﾄﾞﾗ","ﾒﾛﾝｼﾔﾜ-","碧果の力"
"108","Mystic Dark Knight","闇の魔剣士","21","ドロップ変化・闇","Change Light orbs to Dark orbs.","25","闇の守り","30% Dark damage reduction.","闇の魔剣士","ﾄﾞﾛﾂﾌﾟ変化闇","闇の守り"
"1080","Green Sky Fruit, Melon Dragon","碧天の果実・メロンドラゴン","308","メロンシャワー","Recover 30% of max HP. Change Water orbs to Heart orbs.","524","碧果の恵み","Wood attribute cards HP x2, RCV x2.","碧天の果実ﾒﾛﾝﾄﾞﾗｺﾞﾝ","ﾒﾛﾝｼﾔﾜ-","碧果の恵み"
"1081","Lemon Dragon","れもドラ","309","レモンシャワー","Recover 30% of max HP. Change Dark orbs to Heart orbs.","510","黄果の力","Light attribute cards HP x1.5, RCV x1.5.","れもﾄﾞﾗ","ﾚﾓﾝｼﾔﾜ-","黄果の力"
